probe: using server at http://127.0.0.1:8794 (spawned)
PASS  inventory loads (67 apertures)
PASS  aperture ids unique
PASS  every aperture has a POI
PASS  traversable doors to walk (18)
  [trace] d=25m dLast=26m yaw=-0.08 err=-0.03 gain=60.0 shuffles=0
  [trace] d=18m dLast=19m yaw=-0.09 err=-0.02 gain=60.0 shuffles=0
  [trace] d=12m dLast=13m yaw=-0.10 err=-0.02 gain=60.0 shuffles=0
  [trace] d=10m dLast=10m yaw=-0.12 err=-0.07 gain=60.0 shuffles=0
  [trace] d=8m dLast=8m yaw=-0.14 err=0.03 gain=60.0 shuffles=0
  [trace] d=10m dLast=8m yaw=-0.10 err=-0.18 gain=60.0 shuffles=1
  [trace] d=8m dLast=8m yaw=-0.18 err=-0.08 gain=60.0 shuffles=1
  [trace] d=8m dLast=8m yaw=-0.14 err=-0.01 gain=60.0 shuffles=5
  [trace] d=8m dLast=8m yaw=-0.09 err=-0.15 gain=60.0 shuffles=7
  [trace] d=8m dLast=8m yaw=-0.11 err=-0.12 gain=60.0 shuffles=7
  [trace] d=8m dLast=8m yaw=-0.14 err=-0.00 gain=60.0 shuffles=7
  [trace] d=8m dLast=8m yaw=0.08 err=0.17 gain=60.0 shuffles=8
  [trace] d=7m dLast=7m yaw=0.67 err=-0.11 gain=60.0 shuffles=0
  [trace] d=5m dLast=6m yaw=0.27 err=-0.48 gain=60.0 shuffles=0
  [trace] d=4m dLast=5m yaw=0.19 err=-0.51 gain=60.0 shuffles=0
  [trace] d=9m dLast=9m yaw=-1.09 err=-0.43 gain=60.0 shuffles=0
  [trace] d=9m dLast=9m yaw=-1.21 err=-0.40 gain=60.0 shuffles=0
  [trace] d=11m dLast=12m yaw=-1.65 err=-0.32 gain=60.0 shuffles=1
  [trace] d=11m dLast=9m yaw=-1.74 err=0.29 gain=60.0 shuffles=2
  [trace] d=9m dLast=10m yaw=-1.63 err=0.24 gain=60.0 shuffles=2
  [trace] d=9m dLast=9m yaw=-1.50 err=0.06 gain=60.0 shuffles=2
  [trace] d=10m dLast=11m yaw=-1.54 err=-0.20 gain=60.0 shuffles=3
  [trace] d=9m dLast=9m yaw=-1.66 err=-0.06 gain=60.0 shuffles=3
  [trace] d=9m dLast=9m yaw=-1.67 err=0.02 gain=60.0 shuffles=3
  [trace] d=9m dLast=9m yaw=-1.68 err=-0.04 gain=60.0 shuffles=5
  [trace] d=9m dLast=9m yaw=-1.68 err=0.01 gain=60.0 shuffles=5
  [trace] d=11m dLast=9m yaw=-1.65 err=0.25 gain=60.0 shuffles=6
  [trace] d=9m dLast=9m yaw=-1.65 err=-0.08 gain=60.0 shuffles=7
  [trace] d=9m dLast=9m yaw=-1.68 err=-0.01 gain=60.0 shuffles=7
  [trace] d=9m dLast=9m yaw=-1.47 err=0.07 gain=60.0 shuffles=8
  [trace] d=9m dLast=9m yaw=-1.46 err=0.02 gain=60.0 shuffles=10
  [trace] d=9m dLast=9m yaw=-1.46 err=-0.01 gain=60.0 shuffles=10
  [trace] d=9m dLast=9m yaw=-1.47 err=0.02 gain=60.0 shuffles=12
  [trace] d=11m dLast=9m yaw=-1.51 err=-0.24 gain=60.0 shuffles=13
  [trace] d=9m dLast=9m yaw=-1.67 err=-0.08 gain=60.0 shuffles=13
  [trace] d=9m dLast=9m yaw=-1.68 err=0.01 gain=60.0 shuffles=13
  [trace] d=18m dLast=16m yaw=-1.79 err=-0.07 gain=60.0 shuffles=1
  [trace] d=17m dLast=17m yaw=-1.81 err=-0.01 gain=60.0 shuffles=1
  [trace] d=17m dLast=17m yaw=-1.81 err=0.00 gain=60.0 shuffles=1
  [trace] d=16m dLast=16m yaw=-1.60 err=0.10 gain=60.0 shuffles=2
  [trace] d=16m dLast=16m yaw=-1.55 err=0.04 gain=60.0 shuffles=2
  [trace] d=16m dLast=16m yaw=-1.64 err=-0.00 gain=60.0 shuffles=3
  [trace] d=16m dLast=16m yaw=-1.54 err=0.06 gain=60.0 shuffles=4
  [trace] d=16m dLast=16m yaw=-1.52 err=0.03 gain=60.0 shuffles=4
  [trace] d=18m dLast=16m yaw=-1.54 err=-0.13 gain=60.0 shuffles=5
  [trace] d=17m dLast=18m yaw=-1.59 err=0.13 gain=60.0 shuffles=6
  [trace] d=16m dLast=16m yaw=-1.58 err=-0.09 gain=60.0 shuffles=7
  [trace] d=16m dLast=16m yaw=-1.52 err=0.04 gain=60.0 shuffles=8
  [trace] d=16m dLast=16m yaw=-1.51 err=0.02 gain=60.0 shuffles=8
  [trace] d=16m dLast=16m yaw=-1.51 err=0.01 gain=60.0 shuffles=8
  [trace] d=16m dLast=16m yaw=-1.62 err=-0.03 gain=60.0 shuffles=9
  [trace] d=16m dLast=16m yaw=-1.52 err=0.04 gain=60.0 shuffles=10
  [trace] d=16m dLast=16m yaw=-1.51 err=0.01 gain=60.0 shuffles=10
  [trace] d=18m dLast=16m yaw=-1.53 err=-0.13 gain=60.0 shuffles=11
  [trace] d=16m dLast=17m yaw=-1.56 err=-0.10 gain=60.0 shuffles=11
  [trace] d=16m dLast=16m yaw=-1.54 err=0.07 gain=60.0 shuffles=12
  [trace] d=16m dLast=16m yaw=-1.63 err=-0.01 gain=60.0 shuffles=13
  [trace] d=2m dLast=3m yaw=0.46 err=0.04 gain=60.0 shuffles=0
PASS  walk through ranchHouse.partition.east.door.0
  [trace] d=13m dLast=14m yaw=-0.65 err=-1.41 gain=60.0 shuffles=0
  [trace] d=12m dLast=13m yaw=-2.05 err=-0.08 gain=60.0 shuffles=1
  [trace] d=6m dLast=5m yaw=-4.91 err=-1.71 gain=60.0 shuffles=0
